Time,Quadrant,Color,Type
0.03333333333333333,2,red,Entry
0.03333333333333333,4,blue,Entry
0.06666666666666667,3,red,Entry
0.06666666666666667,2,blue,Exit
0.1,4,red,Entry
0.1,2,blue,Exit
0.13333333333333333,1,red,Exit
0.13333333333333333,2,blue,Exit
0.16666666666666666,1,red,Exit
0.16666666666666666,2,blue,Exit
0.2,1,red,Exit
0.2,2,blue,Exit
0.23333333333333334,1,red,Exit
0.23333333333333334,2,blue,Exit
0.26666666666666666,1,red,Exit
0.26666666666666666,2,blue,Exit
0.3,1,red,Exit
0.3,2,blue,Exit
0.36666666666666664,3,red,Exit
0.4,3,red,Entry
0.43333333333333335,3,red,Exit
0.4666666666666667,3,red,Entry
0.5,2,red,Exit
0.5333333333333333,2,red,Entry
0.6333333333333333,2,red,Exit
0.6666666666666666,2,red,Exit
0.7,2,red,Entry
0.7333333333333333,2,red,Exit
0.8333333333333334,2,red,Exit
0.9333333333333333,1,red,Entry
0.9666666666666667,3,red,Exit
1.0,3,red,Entry
1.0333333333333334,3,red,Exit
1.2,3,red,Exit
1.2333333333333334,2,red,Entry
1.2666666666666666,1,red,Exit
1.3,1,red,Entry
1.3333333333333333,1,red,Exit
1.3666666666666667,3,red,Exit
1.4,3,red,Exit
1.4333333333333333,1,red,Entry
1.4666666666666666,3,red,Exit
1.5,3,red,Entry
1.5333333333333334,2,red,Exit
1.5666666666666667,2,red,Exit
1.6666666666666667,2,red,Exit
1.7333333333333334,1,red,Exit
1.7666666666666666,1,red,Exit
1.8333333333333333,2,red,Entry
1.8666666666666667,1,red,Entry
1.9,1,red,Exit
1.9333333333333333,4,red,Exit
1.9666666666666666,4,red,Entry
2.0,2,red,Exit
2.033333333333333,3,red,Exit
2.066666666666667,3,red,Exit
2.1,3,red,Exit
2.1333333333333333,2,red,Exit
2.1333333333333333,2,blue,Entry
2.1333333333333333,2,yellow,Entry
2.1666666666666665,1,red,Exit
2.1666666666666665,4,yellow,Exit
2.2,3,red,Exit
2.2,4,yellow,Exit
2.2333333333333334,3,red,Exit
2.2333333333333334,4,yellow,Exit
2.2666666666666666,4,yellow,Exit
2.3,4,yellow,Exit
2.3333333333333335,4,yellow,Exit
2.3666666666666667,4,yellow,Exit
2.4,4,yellow,Exit
3.2333333333333334,2,red,Entry
3.2666666666666666,3,red,Entry
3.3,4,red,Exit
3.3333333333333335,4,red,Exit
3.3333333333333335,2,blue,Exit
3.3666666666666667,4,red,Exit
3.4,4,red,Exit
3.433333333333333,4,red,Exit
3.466666666666667,4,red,Exit
3.5,4,red,Exit
3.533333333333333,2,red,Exit
3.7,2,red,Entry
3.7333333333333334,3,red,Exit
3.8333333333333335,1,red,Entry
3.9,3,red,Exit
3.933333333333333,3,red,Exit
3.966666666666667,3,red,Exit
4.0,3,red,Entry
4.033333333333333,2,red,Exit
4.066666666666666,3,red,Exit
4.133333333333334,4,red,Entry
4.233333333333333,2,red,Exit
4.266666666666667,2,red,Exit
4.3,2,red,Entry
4.333333333333333,3,red,Exit
4.366666666666666,1,red,Exit
4.4,3,red,Exit
4.466666666666667,3,red,Exit
4.5,1,red,Exit
4.6,2,red,Exit
5.866666666666666,3,red,Entry
5.9,4,red,Exit
5.933333333333334,2,red,Entry
6.033333333333333,1,red,Entry
6.066666666666666,4,red,Exit
6.1,4,red,Exit
6.133333333333334,4,red,Exit
6.2,3,red,Exit
6.233333333333333,3,red,Entry
6.266666666666667,4,red,Exit
6.3,4,red,Exit
6.333333333333333,1,red,Exit
6.366666666666666,1,red,Exit
6.4,1,red,Exit
6.433333333333334,1,red,Entry
6.533333333333333,3,red,Exit
6.566666666666666,3,red,Exit
6.633333333333334,2,red,Exit
6.666666666666667,3,red,Exit
6.7,3,red,Exit
6.733333333333333,4,red,Entry
6.766666666666667,3,red,Exit
6.9,2,red,Entry
7.0,2,blue,Entry
7.033333333333333,3,red,Entry
7.066666666666666,4,red,Exit
7.1,1,red,Exit
7.133333333333334,1,red,Exit
7.166666666666667,1,red,Exit
7.2,2,red,Exit
7.233333333333333,1,red,Exit
7.266666666666667,2,red,Entry
7.3,2,blue,Exit
7.366666666666666,1,red,Entry
7.366666666666666,2,blue,Entry
7.4,3,red,Exit
7.466666666666667,3,red,Exit
7.566666666666666,3,red,Entry
7.6,1,red,Exit
7.666666666666667,1,red,Exit
7.666666666666667,2,blue,Exit
7.7,2,red,Exit
7.733333333333333,2,red,Entry
7.8,3,red,Exit
7.833333333333333,3,red,Exit
7.866666666666666,1,red,Entry
7.866666666666666,2,blue,Entry
7.9,4,blue,Exit
7.933333333333334,3,red,Exit
7.933333333333334,4,blue,Exit
7.966666666666667,3,red,Exit
8.0,4,red,Entry
8.033333333333333,2,red,Exit
8.066666666666666,3,red,Entry
8.166666666666666,4,blue,Entry
8.2,2,red,Exit
8.2,2,blue,Exit
8.233333333333333,2,blue,Exit
8.266666666666667,2,red,Exit
8.3,4,red,Exit
8.333333333333334,4,red,Exit
8.4,2,red,Exit
8.433333333333334,2,red,Exit
8.466666666666667,1,red,Exit
8.533333333333333,1,red,Exit
8.633333333333333,2,red,Entry
8.666666666666666,3,red,Exit
8.766666666666667,3,red,Exit
8.866666666666667,1,red,Entry
8.9,3,red,Exit
8.933333333333334,3,red,Entry
8.966666666666667,2,red,Exit
9.066666666666666,2,red,Exit
9.133333333333333,4,red,Entry
9.166666666666666,1,red,Exit
9.2,2,red,Exit
9.233333333333333,3,red,Exit
9.266666666666667,3,red,Exit
9.266666666666667,2,blue,Entry
9.3,3,red,Exit
